,Track ID,Track Name,Track Popularity,Artist Name,Artist Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2494,5jjZikDrEd0by1o7V3fO4y,overwhelmed,66,Royal & the Serpent,65,0.804,0.323,1,-11.127,0,0.305,0.308,0.00025,0.15,0.456,87.019
2495,1aMokXl3uKDvCh4BBcjFOA,Lil Top,61,YoungBoy Never Broke Again,86,0.708,0.654,5,-6.76,0,0.369,0.0556,0.00025,0.208,0.697,168.032
2496,4sf2L157iEgAR7yrCNLgSq,Breaking Up Was Easy In The 90's,61,Sam Hunt,74,0.562,0.649,9,-5.4,1,0.0494,0.231,0.00025,0.341,0.376,145.913
2497,7jGhydOLVj84A9rKheLIu6,Green Dot,61,YoungBoy Never Broke Again,86,0.758,0.701,6,-4.925,1,0.361,0.106,0.00025,0.0752,0.693,167.092
2498,2m2GJpBjQNNphaCgBeoj7R,Fracture,68,Stephan Moccio,62,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297
2499,0vtYnEw1eJwW26BrBnOAYJ,La Casita,69,Banda MS de Sergio Lizárraga,82,0.832,0.525,10,-6.806,1,0.0412,0.277,1.77e-05,0.142,0.967,112.479
2500,6b5P51m8xx2XA6U7sdNZ5E,Alone Again,68,The Weeknd,99,0.218,0.652,4,-7.953,0,0.0641,0.033,0.111,0.172,0.0599,65.375
2501,0440JCJyIAmINA8KcYgFb5,Fighting Demons,64,Juice WRLD,92,0.707,0.67,7,-6.328,0,0.257,0.0813,0.00025,0.098,0.235,163.099
2502,5kkaSMcf4BFlhRRICCKZb6,Something Special,66,Pop Smoke,85,0.739,0.616,7,-6.963,0,0.0338,0.252,1.93e-06,0.101,0.654,91.071
2503,3q9oTSo64CrjOiPwI4DbWE,Baianá,61,Bakermat,68,0.587,0.722,2,-6.983,0,0.0709,0.000754,0.668,0.543,0.466,121.964
2504,4jB3Mw900goYibsFAueHph,Black Creek,61,Brent Cobb,57,0.537,0.365,1,-12.303,1,0.0331,0.563,0.0388,0.119,0.441,80.597
2505,5NOUjBikzECEJyZMTxtErD,The Code (feat. Polo G),62,King Von,78,0.831,0.62,6,-8.397,0,0.338,0.0582,0.00025,0.119,0.568,133.17
2506,2t0wwvR15fc3K1ey8OiOaN,Selfless,68,The Strokes,79,0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99
2507,6U1iuA5QfzYRPJxvdcxqtf,Lonely,66,Noah Cyrus,74,0.53,0.281,5,-8.274,1,0.0577,0.798,0.00025,0.0928,0.341,122.442
2508,3olGkpomYOWwRZsbFTZqiX,Devil Always Made Me Think Twice,62,Chris Stapleton,80,0.729,0.685,7,-7.547,1,0.03,0.358,0.0102,0.111,0.56,122.284
2509,0PurA4JVJ8YQgSVopY8fn6,tolerate it,66,Taylor Swift,99,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952
2510,1VyA8mbSyXOdJx2lguR8Uu,Romeo & Juliet,63,Peter McPoland,56,0.318,0.476,1,-7.108,1,0.0441,0.454,1.57e-05,0.503,0.0807,160.737
2511,7FjIYiD53wxlQmzTT6Wdpf,space girl,65,Frances Forever,53,0.669,0.395,9,-9.598,1,0.03,0.332,0.000196,0.37,0.196,125.979
2512,7M6KOBCfPzWqbkiaXnm7bd,Too Close,64,Sir Chloe,65,0.42,0.558,9,-5.728,1,0.0509,0.167,0.00025,0.19,0.538,165.987
2513,3eMsgWDRq5dKl5SBTYGv2J,Higher,69,Eminem,94,0.733,0.82,4,-4.758,0,0.218,0.0143,0.00025,0.674,0.525,148.0
2514,49O5AqdaIGmnfz2d8TXL7Z,Brothers (feat. Luh Kel),63,Bankrol Hayden,67,0.889,0.483,8,-10.332,1,0.227,0.376,0.00025,0.088,0.761,120.995
2515,10xuH52YSXHWFwCaF1fsDd,Hard To Forget,61,Sam Hunt,74,0.689,0.689,4,-5.517,1,0.045,0.23,0.00025,0.57,0.664,130.069
2516,706ZrLifsm0nwlucKr4kQg,Like Me (feat. iann dior),63,$NOT,74,0.902,0.462,7,-7.945,1,0.0979,0.19,2.15e-06,0.094,0.646,103.984
2517,5CFJRZRq6sdKKtRwNPWbYv,Show Out (with Skepta & Pop Smoke),67,Kid Cudi,83,0.619,0.589,1,-6.531,1,0.124,0.43,0.000392,0.378,0.158,143.896
2518,3iJzFCok0A0qvOaADTAyq5,Not A Rapper,61,42 Dugg,75,0.883,0.712,8,-3.397,0,0.27,0.107,0.00025,0.0971,0.559,120.079
2519,7FRkzDzvNJZKUivOTyAmdp,Internet Sensation,63,Lil Durk,85,0.669,0.584,1,-6.141,1,0.287,0.602,0.00025,0.109,0.353,185.996
2520,7qdFz1dTJqgdVe6NA4F4DP,Beef FloMix,62,Flo Milli,69,0.879,0.733,11,-3.953,0,0.142,0.216,0.00025,0.274,0.913,117.039
2521,6TNWeqDnqdqIQWYMWZmzTA,Fire Drill,65,Melanie Martinez,82,0.762,0.596,9,-8.152,1,0.075,0.29,0.00025,0.0691,0.378,116.887
2522,13bXmY0acm51KkgEdhCm1n,Like A Cowboy,59,Parker McCollum,71,0.486,0.443,4,-6.791,1,0.034,0.611,2.46e-06,0.0981,0.215,125.159
2523,2rw5cbtHTyzy8iruujD28d,Dough,61,Key Glock,79,0.876,0.463,1,-6.607,1,0.289,0.00166,0.000492,0.109,0.32,162.951
2524,3OBXZXFYDouFlKdlFO6NLC,Codeine Pills - Part One,60,Zach Bryan,86,0.716,0.306,6,-5.454,1,0.112,0.572,0.00025,0.11,0.359,79.522
2525,19CSr8rwW05VJL2F91KFNK,ivy,65,Taylor Swift,99,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-05,0.0921,0.535,88.856
2526,0Jm0RTOlF7DsbQ689QclaF,ICU,64,Phoebe Bridgers,81,0.511,0.649,2,-8.078,1,0.0318,0.418,0.00569,0.103,0.397,133.976
2527,1hg3RlqFZXJb5YgRoK9qmF,Gangstas,70,Pop Smoke,85,0.548,0.506,4,-7.434,0,0.102,0.203,0.0001,0.0788,0.557,119.987
2528,58AGoOGbwsQMhBbH0eFLRR,Over Now (with The Weeknd),69,Calvin Harris,88,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043
